px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	6.95321e-310
8.4485	0.251375	-0.000726997	-1.18178e-17	1.04083e-17	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000275956
8.47146	0.248799	-0.00559252	3.16105e-06	3.26076e-07	8.56759	0.241943	8.45	0.25	0	0	0.125962
8.46434	0.250982	-0.00864691	-2.08821e-05	-2.97747e-06	8.45582	0.253997	8.45	0.25	0	0	0.00655513
8.37812	0.25133	-1.1043	0.00112334	0.000280052	8.42544	0.254042	8.35	0.25	-1.81979	0	15.5768
8.30801	0.250619	-1.12754	0.00330224	0.000798229	8.23962	0.24916	8.25	0.25	-1.81978	0	0.310889
8.10308	0.233148	-1.76655	0.170569	0.0507544	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	20.1468
7.99557	0.197972	-1.82753	0.289173	0.0819507	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.57918
7.80457	0.308873	-2.36083	-0.723342	-0.357217	7.61269	0.155818	7.7	0.15	-2.99982	0	9.44818
7.66518	0.239508	-2.46569	-0.216002	-0.14568	7.54016	0.159641	7.55	0.15	-2.99982	0	1.81971
7.55392	0.232252	-2.36774	-0.164946	-0.151094	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0.591059
7.4064	0.133885	-2.31889	0.0942919	-0.000842986	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	1.23304
7.24553	0.120153	-2.6521	0.0793359	-0.0847098	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	2.06831
7.09352	0.0268831	-2.66595	0.220418	0.0781855	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.672003
6.98949	-0.0956126	-2.32757	0.435895	0.532314	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	3.73372
6.87381	-0.19854	-2.3648	0.542882	0.653831	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.320619
6.76127	-0.26498	-2.44413	0.548839	0.542433	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.442075
6.65774	-0.378306	-2.51814	0.644189	0.651926	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.507855
6.61549	-0.545085	-2.4041	0.965431	1.37828	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	3.88381
6.55426	-0.647425	-2.40623	1.03737	1.3836	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.00276129
6.51045	-0.811757	-2.48746	1.23648	1.65904	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.75755
6.46977	-0.974072	-2.57415	1.34963	1.68238	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.393702
6.36138	-1.01511	-2.26646	1.13611	1.0179	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	8.35898
6.29842	-1.16282	-2.37491	1.19349	1.00711	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.58002
6.39121	-1.37904	-2.44326	1.60288	1.69028	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	26.4194
