px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.3342	23.9897	4.12522	0.308766	0.0879634	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.425227
66.2262	23.9612	2.79676	0.37534	0.115415	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.8805
68.261	24.3617	2.75177	0.202632	-0.0670002	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.0685485
68.3485	24.3929	2.7669	0.197511	-0.072986	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.99654
70.8239	24.882	3.56408	0.246024	0.00434693	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.103004
70.7849	24.8673	2.63129	0.26262	-0.00700489	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.628729
72.8907	24.7185	2.74363	-0.153072	-0.263045	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.135975
72.9406	24.7348	2.67786	-0.160892	-0.284569	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.694202
74.9999	25.25	2.43286	0.383246	0.229082	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.609941
74.9841	25.2482	2.28487	0.374432	0.22852	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0557049
77.1146	24.9435	2.64907	-0.482292	-0.443465	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0.934064
77.1388	24.9491	2.52576	-0.529585	-0.501771	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.191253
79.1007	25.02	1.45195	0.0500009	0.203012	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.5576
79.1285	25.0077	1.83826	0.102366	0.261119	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.315835
80.8046	24.8745	2.33783	0.00107648	0.0349273	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.131301
80.8528	24.8822	1.89389	-0.0607463	-0.0588281	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.23704
82.6175	24.638	2.70726	-0.0517231	-0.016026	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0842762
82.5754	24.6218	2.11136	-0.165486	-0.228339	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.817381
84.1707	24.5449	2.33699	0.0280162	0.0264436	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.162053
84.1606	24.5483	1.94806	-0.0143999	-0.0557904	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.364026
85.6371	23.8144	2.18942	-0.506848	-0.320094	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.153612
85.6925	23.8256	2.20408	-0.534341	-0.379124	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.876852
86.9416	23.5156	1.16083	-0.250397	0.0151478	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.574235
87.0679	23.5477	1.32731	-0.183115	0.0607541	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.78581
88.8167	22.7954	2.92518	-0.496133	-0.172631	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0.405461
88.7344	22.7563	2.66668	-0.737668	-0.483601	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.34811
89.4978	22.2931	0.046554	-0.744508	-0.211801	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	1.0415
89.6093	22.2403	0.951189	-0.772372	-0.276546	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	4.0055
90.4951	21.6542	1.6434	-0.433471	0.114137	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.404496
90.5659	21.6715	1.63566	-0.361493	0.114587	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.80625
91.7148	21.1129	1.96279	-0.0892362	0.201939	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0434511
91.7582	21.1368	1.59188	-0.356804	-0.0643062	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.54354
92.8569	20.9473	1.66301	-0.051832	0.154189	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.108553
92.9248	20.9685	1.16734	0.03309	0.151604	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.52715
93.4704	20.2369	0.469385	-0.675857	-0.366391	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	0.680118
93.5713	20.2757	1.06005	-0.492149	-0.137707	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.88749
95.3034	19.6472	3.36283	0.0871536	0.2735	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	1.02565
95.071	19.6344	2.0982	-0.0367574	0.0691055	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	9.2393
95.5097	19.6971	0.853808	0.203959	0.160533	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0.212442
95.5245	19.6997	0.892198	0.206203	0.161858	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.0514845
96.2548	19.2035	0.919722	-1.00394	-0.645262	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	1.41988
96.3034	19.2409	1.25513	-0.738936	-0.377958	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.804749
97.5068	18.7111	2.01927	-0.246915	0.13285	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.06801
97.4432	18.7227	1.64077	-0.437016	-0.157382	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.987092
98.2098	18.369	1.237	-0.280799	0.0219356	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.0859167
98.2278	18.3784	1.08121	-0.331458	-0.0503439	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.370186
99.0399	17.3743	1.67884	-1.09695	-0.470366	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.454835
99.0434	17.4054	1.63403	-0.736731	-0.0360682	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0.551273
99.9843	16.9704	0.896797	-0.373449	0.218402	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.496427
100.071	16.9826	1.0297	-0.309086	0.262446	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.78847
101.2	16.5381	1.91293	-0.096018	0.23102	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.0901379
101.153	16.5268	1.49333	-0.256825	0.0459515	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.684687
102.382	16.3938	2.05354	0.131208	0.2392	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.122968
102.285	16.3842	1.32637	0.155534	0.248161	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.81234
103.002	15.3892	0.584746	-1.19654	-0.693469	103.003	15.353	103.119	15.4967	1.11708	-0.508169	1.9484
102.963	15.4423	1.46441	-0.616759	-0.0232991	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	3.48328
104.102	15.256	1.64978	0.138579	0.441985	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	0.63576
104.044	15.2512	1.39683	0.123866	0.43518	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.689674
105.534	14.4742	1.97698	-0.967179	-0.477438	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	1.7526
105.48	14.4757	2.03099	-0.863502	-0.359709	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.763408
106.814	14.032	1.19101	-0.366665	0.205608	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	1.34868
106.774	13.9982	1.58385	-0.348597	0.299764	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.68661
108.08	13.6578	2.06793	0.100448	0.392342	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0501718
108.074	13.6622	1.81198	0.085388	0.376921	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.197721
109.532	13.5786	2.11497	0.0256151	0.115739	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.151543
109.488	13.571	1.72592	-0.0242163	0.0771407	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.424635
111.061	12.5994	2.26412	-0.945849	-0.5269	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	0.799364
111.148	12.631	2.71739	-0.730654	-0.235801	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	1.7291
112.904	12.4729	1.04651	-0.116147	0.292423	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	1.4002
112.92	12.4407	1.73421	0.0131127	0.386151	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	1.04753
114.796	12.5512	2.80971	0.292956	0.317727	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.155157
114.8	12.5562	2.23207	0.282989	0.347029	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.400729
116.682	12.1149	2.42674	-0.364091	-0.25017	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0.773502
116.719	12.1197	2.53495	-0.354362	-0.236314	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.302587
118.947	11.9927	2.91021	0.0841939	0.195491	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.492196
118.919	12.001	2.46356	0.123538	0.222641	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.326099
120.695	12.2927	2.45748	0.284442	0.183438	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.00315986
120.739	12.2971	2.42914	0.281594	0.184748	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.466785
123.557	12.8323	4.34218	0.0392298	-0.0845559	123.568	12.8297	122.95	12.5114	2.29835	0.246599	0.635248
123.452	12.812	3.03543	-0.0971598	-0.211052	123.142	12.7694	122.95	12.5114	2.29835	0.246599	2.75641
124.898	12.7713	2.05057	-0.118011	-0.0912649	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0.189286
125.002	12.7821	2.8209	-0.121338	-0.0777734	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.3568
127.846	13.3201	4.03932	0.488461	0.357827	127.853	13.3273	127.609	13.2365	2.44434	0.495787	0.609879
127.767	13.3214	3.32664	0.59549	0.513852	127.506	13.153	127.609	13.2365	2.44434	0.495787	1.41572
129.945	13.7071	2.0198	0.262282	-0.0278151	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.850489
130.033	13.7259	2.55288	0.253446	-0.0487844	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.58263
132.09	14.505	3.06323	0.334259	0.0331627	132.092	14.507	132.53	14.458	2.55028	0.74543	0.0483035
132.153	14.5126	2.96455	0.334712	0.0457977	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.03816
135.065	15.0498	4.32436	-0.0219478	-0.208326	135.074	15.0475	135.066	15.2513	2.58865	0.863795	0.402106
135.051	15.0379	3.25058	-0.136273	-0.346448	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.936592
137.559	16.2027	3.03331	0.629778	0.361613	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.07181
137.587	16.2035	3.35244	0.584139	0.306102	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.193211
140.325	17.0139	3.38549	0.185523	-0.159128	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.551325
140.328	17.0104	3.19209	0.187014	-0.152845	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0897245
142.887	17.9876	3.59081	0.401066	0.0817329	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.132393
142.838	17.9828	3.25115	0.421085	0.109312	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.542778
145.388	19.1619	3.96498	0.369477	0.00515109	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.0961981
145.457	19.1707	3.48774	0.404112	0.0967308	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.98803
148.246	20.4749	4.37803	0.382081	0.0204133	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.124926
148.223	20.4728	3.43964	0.443596	0.153452	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.650295
150.683	22.1129	4.18298	0.593633	0.15008	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.0721808
150.661	22.111	3.84648	0.651344	0.253074	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.155537
153.418	23.4939	3.84964	0.38573	-0.0739123	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.289893
153.401	23.4848	3.34001	0.46699	0.0297183	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.277519
156.043	24.8082	4.06164	0.380582	-0.0454016	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.086931
156.029	24.8066	3.19136	0.414844	0.0474915	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.505758
158.898	26.0303	4.51057	0.292219	-0.0624705	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.266275
158.907	26.0307	3.64012	0.318391	0.00976056	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.863491
161.411	27.4238	3.85384	0.516343	0.128432	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.0349886
161.442	27.4319	3.31399	0.542152	0.191192	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.457654
163.622	28.7694	3.55763	0.494613	0.0391816	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.0668513
163.728	28.7866	3.37758	0.542807	0.121547	164.116	29.315	164.155	28.8064	2.64354	1.28825	3.15679
166.819	30.2059	4.84621	0.29061	-0.118142	166.828	30.2062	166.809	30.0721	2.63006	1.22694	0.442502
166.762	30.1867	3.53396	0.322112	-0.0191313	166.748	29.7121	166.809	30.0721	2.63006	1.22694	1.76377
169.098	31.3704	3.51485	0.446917	0.0727407	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.0175239
