8.46292	0.243462	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0
8.44828	0.251509	-0.000734177	0.000403548	8.44818	0.251553	8.45	0.25	-3.00027	0
8.5661	0.241956	-0.0103446	-0.0005223	8.56759	0.241943	8.45	0.25	0	0
8.45587	0.25394	-0.000354055	0.000526095	8.45582	0.253997	8.45	0.25	0	0
8.42455	0.254067	-1.83727	-0.052209	8.42544	0.254042	8.35	0.25	-1.81979	0
8.24113	0.249129	-0.0122334	0.000312561	8.23962	0.24916	8.25	0.25	-1.81978	0
7.93792	0.185874	-3.76806	-0.110531	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.84495	0.160313	-0.0309973	-0.00417072	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.623	0.149049	-3.18459	-0.0951384	7.61269	0.155818	7.7	0.15	-2.99982	0
7.54641	0.160097	-0.0459707	-0.00418146	7.54016	0.159641	7.55	0.15	-2.99982	0
7.52171	0.0803971	-1.87666	-0.0615024	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.35019	0.0356683	-0.061489	-0.0114826	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.22559	-0.0299153	-2.76428	-0.0926445	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.0636	-0.051726	-0.077218	-0.0162892	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.77988	-0.228263	-1.65224	-0.070891	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.86064	-0.256015	-0.0884193	-0.0275629	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.71952	-0.490067	-2.00096	-0.0918258	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.65562	-0.458759	-0.0906115	-0.0352068	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.68226	-0.763507	-0.805394	-0.0711614	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.57318	-0.646022	-0.0948915	-0.0446646	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.52653	-1.16368	-0.351094	-0.0847373	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
6.47162	-1.04563	-0.109977	-0.0711951	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
6.56527	-1.57253	-1.22387	-0.132407	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
6.26994	-1.24194	-0.121016	-0.0819698	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
6.68691	-1.96867	1.72112	-0.0697051	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
6.3775	-1.64622	-0.115049	-0.104251	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
6.67694	-2.41809	-0.206389	-0.136918	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
6.26142	-1.9388	-0.110475	-0.10951	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
6.77097	-2.77797	1.74041	-0.0990347	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
6.36078	-2.22478	-0.105436	-0.123798	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
6.88325	-3.11679	0.850121	-0.15862	6.32593	-2.40018	6.35	-2.4	0	-2.72613
6.36358	-2.53654	-0.115949	-0.153542	6.34927	-2.55175	6.35	-2.55	0	-2.72611
7.10633	-3.42643	1.88159	-0.146227	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
6.44632	-2.82566	-0.111279	-0.169358	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
7.25931	-3.71896	1.40391	-0.156776	6.46536	-3.00452	6.45	-3	0	-2.99754
6.45489	-3.13107	-0.100797	-0.169391	6.44119	-3.14955	6.45	-3.15	0	-2.99754
7.45545	-4.01665	2.19403	-0.170131	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
6.55828	-3.43731	-0.104997	-0.202909	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
7.68542	-4.22434	2.68515	-0.168301	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
6.77164	-3.73281	-0.0934214	-0.219638	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
8.02465	-4.42882	2.18844	-0.194604	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
6.87082	-4.03464	-0.088004	-0.236474	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
8.18847	-4.64212	2.22217	-0.20528	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
6.95361	-4.31976	-0.0833028	-0.251856	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
